!root 429 jump.v.11
!root 356 vote.v.04
!root 150 issue_forth.v.01
!root 454 keep_to_oneself.v.01
!root 154 unbalance.v.01
!root 249 break.v.25
!root 446 shine.v.07
!root 274 commemorate.v.02
!root 671 turn_to.v.02
!root 685 fall_in.v.02
!root 364 give.v.01
364;give.v.01;infect.v.01
364;infect.v.01;canker.v.02
364;give.v.01;deliver.v.09
364;deliver.v.09;land.v.05
364;give.v.01;award.v.02
364;award.v.02;pension.v.01
!root 613 fail.v.05
!root 158 grudge.v.02
!root 443 command.v.02|want.v.02|ask.v.04|necessitate.v.01
443;command.v.02|want.v.02|ask.v.04|necessitate.v.01;charge.v.18
443;charge.v.18;bear_down.v.06
443;charge.v.18;overburden.v.01
443;charge.v.18;adjure.v.02
443;charge.v.18;overwhelm.v.02
443;command.v.02|want.v.02|ask.v.04|necessitate.v.01;requisition.v.01
443;command.v.02|want.v.02|ask.v.04|necessitate.v.01;forbid.v.01
443;forbid.v.01;bar.v.01
443;forbid.v.01;outlaw.v.01
443;outlaw.v.01;ban.v.01
443;ban.v.01;embargo.v.01
443;forbid.v.01;ban.v.02
443;forbid.v.01;enjoin.v.01
443;command.v.02|want.v.02|ask.v.04|necessitate.v.01;cry.v.05
443;command.v.02|want.v.02|ask.v.04|necessitate.v.01;call.v.19
443;command.v.02|want.v.02|ask.v.04|necessitate.v.01;demand.v.03|claim.v.05
443;command.v.02|want.v.02|ask.v.04|necessitate.v.01;draw.v.22
443;command.v.02|want.v.02|ask.v.04|necessitate.v.01;cost.v.02
443;command.v.02|want.v.02|ask.v.04|necessitate.v.01;compel.v.02
443;command.v.02|want.v.02|ask.v.04|necessitate.v.01;cry_out_for.v.01
443;command.v.02|want.v.02|ask.v.04|necessitate.v.01;govern.v.04
!root 615 fail.v.01
615;fail.v.01;default.v.01
615;fail.v.01;choke.v.06
615;fail.v.01;muff.v.01
615;fail.v.01;miss.v.03
615;miss.v.03;cut.v.11
615;cut.v.11;bunk_off.v.01
615;fail.v.01;lose_track.v.01
615;fail.v.01;strike_out.v.02
615;strike_out.v.02;fan.v.01
615;strike_out.v.02;whiff.v.03
!root 194 expiate.v.01|repent.v.01
!root 250 identify.v.05
!root 537 perform.v.01
537;perform.v.01;star.v.02
537;star.v.02;co-star.v.02
537;perform.v.01;pipe_up.v.01
537;perform.v.01;cut.v.23
537;perform.v.01;cut_corners.v.01
537;perform.v.01;scamp.v.01
537;perform.v.01;premier.v.02|premier.v.01
537;perform.v.01;make.v.16
537;make.v.16;pay.v.08
537;perform.v.01;improvise.v.01
537;perform.v.01;improvise.v.01|improvise.v.02
537;perform.v.01;interpret.v.03
537;interpret.v.03;sing.v.01
537;sing.v.01;troll.v.03
537;sing.v.01;carol.v.01
537;sing.v.01;solmizate.v.01
537;sing.v.01;madrigal.v.01
537;sing.v.01;hymn.v.01
537;perform.v.01;click_off.v.01
537;perform.v.01;serenade.v.01
537;perform.v.01;appear.v.06
537;perform.v.01;rehearse.v.01|practice.v.01|drill.v.03
537;rehearse.v.01|practice.v.01|drill.v.03;walk_through.v.01
537;rehearse.v.01|practice.v.01|drill.v.03;scrimmage.v.01
537;perform.v.01;conduct.v.02
