predicate location
weed_out hair_care
buy hardware_store
buy hardware_store
buy hardware_store
buy hardware_store
buy hardware_store
buy hardware_store
buy hardware_store
choose hardware_store
count hardware_store
sell hardware_store
be health
care health
check health
eat health
exert health
exert health
exert health
exert health
run health
stretch health
chant hindu_temple
idolize hindu_temple
idolize hindu_temple
idolize hindu_temple
meet hindu_temple
practice hindu_temple
practice hindu_temple
pray hindu_temple
pray hindu_temple
sing hindu_temple
buy home_goods_store
buy home_goods_store
buy home_goods_store
buy home_goods_store
buy home_goods_store
buy home_goods_store
buy home_goods_store
buy home_goods_store
buy home_goods_store
sell home_goods_store
buy hospital
conduct hospital
pay hospital
pull hospital
receive hospital
specialize hospital
undergo hospital
visit hospital
visit hospital
visit hospital
visit hospital
buy insurance_agency
buy insurance_agency
buy insurance_agency
buy insurance_agency
buy insurance_agency
get insurance_agency
inspect insurance_agency
lodge insurance_agency
solicit insurance_agency
talk insurance_agency
buy jewelry_store
buy jewelry_store
buy jewelry_store
buy jewelry_store
buy jewelry_store
buy jewelry_store
buy jewelry_store
buy jewelry_store
consider jewelry_store
see jewelry_store
clean laundry
dry laundry
fold laundry
measure laundry
wash laundry
wash laundry
wash laundry
wash laundry
wash laundry
wash_up laundry
action lawyer
consult lawyer
get lawyer
obtain lawyer
pay lawyer
pay lawyer
practice lawyer
receive lawyer
receive lawyer
seek lawyer
state lawyer
access library
check library
check library
check library
lend library
read library
read library
read library
read library
use library
write library
buy liquor_store
buy liquor_store
buy liquor_store
buy liquor_store
buy liquor_store
buy liquor_store
drink liquor_store
drink liquor_store
sell liquor_store
sell liquor_store
attend local_government_office
file local_government_office
file local_government_office
get local_government_office
give local_government_office
pay local_government_office
pay local_government_office
publish local_government_office
register local_government_office
visit local_government_office
buy locksmith
install locksmith
install locksmith
make locksmith
open locksmith
pay locksmith
procure locksmith
repair locksmith
repair locksmith
unlock locksmith
unlock locksmith
ask lodging
book lodging
get lodging
rent lodging
sleep lodging
state lodging
stay lodging
stay_at lodging
swim lodging
watch lodging
buy meal_delivery
deliver meal_delivery
deliver meal_delivery
deliver meal_delivery
drive meal_delivery
eat meal_delivery
